[0.00013733 0.        ]	[-0.000103  0.      ]	[(-38, -47, 26, 45)]	[(24, 51, -32, -43)]
[0.00013924 0.        ]	[-0.000103  0.      ]	[(-27, 41, 33, -43)]	[(24, 51, -32, -43)]
[0.00013977 0.        ]	[-0.000103  0.      ]	[(-52, 27, 34, 0)]	[(24, 51, -32, -43)]
[0.00014114 0.        ]	[-0.000103  0.      ]	[(-37, 45, -32, 18)]	[(24, 51, -32, -43)]
[0.00014305 0.        ]	[-0.000103  0.      ]	[(-20, 20, 25, -24)]	[(24, 51, -32, -43)]
[0.000144 0.      ]	[-0.000103  0.      ]	[(-26, 41, -42, 24)]	[(24, 51, -32, -43)]
[0.00014496 0.        ]	[-0.000103  0.      ]	[(-39, 54, 14, -41)]	[(24, 51, -32, -43)]
[0.00014591 0.        ]	[-0.000103  0.      ]	[(52, -49, -37, 29)]	[(24, 51, -32, -43)]
[0.00014687 0.        ]	[-0.000103  0.      ]	[(55, -47, 21, -41)]	[(24, 51, -32, -43)]
[0.00014687 0.        ]	[-0.000103  0.      ]	[(55, -42, 20, -45)]	[(24, 51, -32, -43)]
[0.00014877 0.        ]	[-0.000103  0.      ]	[(28, -37, 35, -22)]	[(24, 51, -32, -43)]
[0.00014877 0.        ]	[-0.000103  0.      ]	[(-51, -16, -36, 57)]	[(24, 51, -32, -43)]
[0.00014877 0.        ]	[-0.000103  0.      ]	[(-47, 37, -55, 55)]	[(24, 51, -32, -43)]
[0.00014973 0.        ]	[-0.000103  0.      ]	[(-51, 48, 34, -23)]	[(24, 51, -32, -43)]
[0.00015259 0.        ]	[-0.000103  0.      ]	[(0, -52, 27, 34)]	[(24, 51, -32, -43)]
[0.00015259 0.        ]	[-0.000103  0.      ]	[(-42, 25, -28, 38)]	[(24, 51, -32, -43)]
[0.0001545 0.       ]	[-0.000103  0.      ]	[(-29, -21, -23, 50)]	[(24, 51, -32, -43)]
[0.00015545 0.        ]	[-0.000103  0.      ]	[(35, -26, 38, -39)]	[(24, 51, -32, -43)]
[0.0001564 0.       ]	[-0.000103  0.      ]	[(32, -17, -46, 32)]	[(24, 51, -32, -43)]
[0.0001564 0.       ]	[-0.000103  0.      ]	[(45, -27, 49, -51)]	[(24, 51, -32, -43)]
[0.00015831 0.        ]	[-0.000103  0.      ]	[(21, -38, 37, -18)]	[(24, 51, -32, -43)]
[0.00015831 0.        ]	[-0.000103  0.      ]	[(-22, 55, -26, -31)]	[(24, 51, -32, -43)]
[0.00016212 0.        ]	[-0.000103  0.      ]	[(54, -56, -33, 42)]	[(24, 51, -32, -43)]
[0.00016308 0.        ]	[-0.000103  0.      ]	[(40, 50, -44, -39)]	[(24, 51, -32, -43)]
[0.00016689 0.        ]	[-0.000103  0.      ]	[(29, -38, 44, -32)]	[(24, 51, -32, -43)]
[0.00016689 0.        ]	[-0.000103  0.      ]	[(52, -52, -38, 39)]	[(24, 51, -32, -43)]
[0.00016832 0.        ]	[-0.000103  0.      ]	[(39, -17, -39, 18)]	[(24, 51, -32, -43)]
[0.00017166 0.        ]	[-0.000103  0.      ]	[(-28, -32, -30, 53)]	[(24, 51, -32, -43)]
[0.00017262 0.        ]	[-0.000103  0.      ]	[(57, -58, 26, -17)]	[(24, 51, -32, -43)]
[0.00017357 0.        ]	[-0.000103  0.      ]	[(-44, 53, 43, -52)]	[(24, 51, -32, -43)]
[0.00017357 0.        ]	[-0.000103  0.      ]	[(-42, 33, 39, -31)]	[(24, 51, -32, -43)]
[0.00017357 0.        ]	[-0.000103  0.      ]	[(-21, 0, -46, 50)]	[(24, 51, -32, -43)]
[0.00017452 0.        ]	[-0.000103  0.      ]	[(41, 42, -38, -34)]	[(24, 51, -32, -43)]
[0.00017548 0.        ]	[-0.000103  0.      ]	[(37, -51, -26, 48)]	[(24, 51, -32, -43)]
[0.00017548 0.        ]	[-0.000103  0.      ]	[(-52, -37, -21, 59)]	[(24, 51, -32, -43)]
[0.00017548 0.        ]	[-0.000103  0.      ]	[(-34, 50, -53, 43)]	[(24, 51, -32, -43)]
[0.00017619 0.        ]	[-0.000103  0.      ]	[(23, -15, -19, 14)]	[(24, 51, -32, -43)]
[0.00017643 0.        ]	[-0.000103  0.      ]	[(-34, 23, -21, 26)]	[(24, 51, -32, -43)]
[0.00017646 0.        ]	[-0.000103  0.      ]	[(-40, -17, 45, 0)]	[(24, 51, -32, -43)]
[0.00017738 0.        ]	[-0.000103  0.      ]	[(21, -53, 21, 29)]	[(24, 51, -32, -43)]
[0.00017738 0.        ]	[-0.000103  0.      ]	[(47, 0, -20, -20)]	[(24, 51, -32, -43)]
[0.00017786 0.        ]	[-0.000103  0.      ]	[(48, -22, -33, 15)]	[(24, 51, -32, -43)]
[0.00017977 0.        ]	[-0.000103  0.      ]	[(26, 27, -50, 16)]	[(24, 51, -32, -43)]
[0.00018024 0.        ]	[-0.000103  0.      ]	[(50, -54, 44, -22)]	[(24, 51, -32, -43)]
[0.00018024 0.        ]	[-0.000103  0.      ]	[(-23, -49, 31, 37)]	[(24, 51, -32, -43)]
[0.00018072 0.        ]	[-0.000103  0.      ]	[(-25, 48, -39, 16)]	[(24, 51, -32, -43)]
[0.0001812 0.       ]	[-0.000103  0.      ]	[(49, 31, -42, -30)]	[(24, 51, -32, -43)]
[0.0001843 0.       ]	[-0.000103  0.      ]	[(57, -39, -33, -15)]	[(24, 51, -32, -43)]
[0.00018454 0.        ]	[-0.000103  0.      ]	[(15, 44, -30, -18)]	[(24, 51, -32, -43)]
[0.00018501 0.        ]	[-0.000103  0.      ]	[(42, -21, 14, -23)]	[(24, 51, -32, -43)]
[0.00018597 0.        ]	[-0.000103  0.      ]	[(-34, 27, -34, 35)]	[(24, 51, -32, -43)]
[0.00018597 0.        ]	[-0.000103  0.      ]	[(-15, -16, -24, 39)]	[(24, 51, -32, -43)]
[0.00018883 0.        ]	[-0.000103  0.      ]	[(20, -39, -51, 54)]	[(24, 51, -32, -43)]
[0.00018883 0.        ]	[-0.000103  0.      ]	[(32, -44, -34, 43)]	[(24, 51, -32, -43)]
[0.00018978 0.        ]	[-0.000103  0.      ]	[(19, -25, -20, 25)]	[(24, 51, -32, -43)]
[0.00018978 0.        ]	[-0.000103  0.      ]	[(25, 41, -33, -25)]	[(24, 51, -32, -43)]
[0.00019169 0.        ]	[-0.000103  0.      ]	[(39, 47, -48, -26)]	[(24, 51, -32, -43)]
[0.00019264 0.        ]	[-0.000103  0.      ]	[(0, -40, -17, 45)]	[(24, 51, -32, -43)]
[0.00019646 0.        ]	[-0.000103  0.      ]	[(31, 52, -35, -47)]	[(24, 51, -32, -43)]
[0.00019646 0.        ]	[-0.000103  0.      ]	[(55, -15, -24, -36)]	[(24, 51, -32, -43)]
[0.00019741 0.        ]	[-0.000103  0.      ]	[(17, 44, -21, -31)]	[(24, 51, -32, -43)]
[0.00020218 0.        ]	[-0.000103  0.      ]	[(19, 0, 58, -59)]	[(24, 51, -32, -43)]
[0.00020218 0.        ]	[-0.000103  0.      ]	[(23, 35, -57, 39)]	[(24, 51, -32, -43)]
[0.00020218 0.        ]	[-0.000103  0.      ]	[(-59, 28, -25, 54)]	[(24, 51, -32, -43)]
[0.00020218 0.        ]	[-0.000103  0.      ]	[(-29, 29, 24, -24)]	[(24, 51, -32, -43)]
[0.00020313 0.        ]	[-0.000103  0.      ]	[(-33, -42, 58, -28)]	[(24, 51, -32, -43)]
